title,score,critic,summary,score_critic,year
Grand Theft Auto: San Andreas,93,Game Revolution,"Sure, the instant replay feature was left out, but this is a mostly untouched Grand Theft Auto: San Andreas, one of the best games ever made, and now a version of it can be played on the PC with the best controls and graphics available.",100,07-Jun-05
Grand Theft Auto: Chinatown Wars,93,GameTrailers,"Chinatown Wars boils Grand Theft Auto down to its basic elements and wisely goes with what works. The game also makes wise use of the DS hardware without requiring too much back and forth between the control pad and the stylus. Most impressively, the game takes cues from the series' 2D past and incorporates modern amenities from recent installments, letting it live up to its legacy and stand on its own.",90,17-Mar-09
Grand Theft Auto: San Andreas,95,null,"Massively expansive, even over ""Vice City."" The biggest game ever. [Jan 2007, p.106]",100,26-Oct-04
Grand Theft Auto: Vice City,94,Yahoo!,"Its longevity is a wonderful thing, since a sequel is still some time away, and this is one game that you really don't want to stop playing. Even after you've gotten tired of the carnage, it's fun to load it up and just cruise around Vice City listening to the radio.",100,12-May-03
Grand Theft Auto: Liberty City Stories,88,Gamezilla!,"If these are the types of games we can expect to see coming to the PSP, Nintendo is going to see their market dwindle away.",94,24-Oct-05
Grand Theft Auto: Chinatown Wars,93,Worth Playing,Grand Theft Auto: Chinatown Wars manages to bring the GTA formula to the DS in a spectacular way.,90,17-Mar-09
Grand Theft Auto: Vice City Stories,86,Worth Playing,"It’s hard to rate this game, as it is meaty, contains a gameplay formula that people are used to (despite its lumps), and contains just enough good to counter the bad.",70,31-Oct-06
Grand Theft Auto: Liberty City Stories,88,IC-Games,If you have enough people around you'll find the [multiplayer] experience just as engrossing as the single player game.,92,24-Oct-05
Grand Theft Auto: Vice City Stories,75,NTSC-uk,"As lacklustre as Vice City Stories is, there’s no denying that it effectively replicates the core genius of the GTA series in a way no other sandbox action title can. Presumably the last GTA on the PS2, you’ll leave it thinking that it was a missed opportunity rather than a poor experience.",60,05-Mar-07
Grand Theft Auto: Vice City,94,Eurogamer,It transcends the very genre it once created.,90,12-May-03
Grand Theft Auto: Liberty City Stories,88,GameSpy,"The amount of content in the game is simply amazing and, like the console games, you'll find yourself playing even after you've completed the main story.",90,24-Oct-05
Grand Theft Auto: Vice City,95,null,The best action title on PS2.,100,27-Oct-02
Grand Theft Auto: Chinatown Wars,93,Multiplayer.it,"Chinatown Wars is not a poor man's GTA by any means; on the contrary, it's a lesson about how to use the DS hardware in the best way possible, and sometimes it even shows how the series can evolve with the future home consoles episodes.",93,17-Mar-09
Grand Theft Auto: Vice City,94,Game Over Online,"Very near the perfect game. It’s engrossing, has a speedy learning curve, and is packed with action. You can play for just an hour, or be sucked in for hours on end.",93,12-May-03
Grand Theft Auto: Chinatown Wars,90,Everyeye.it,A perfect porting of one of the greatest portable games of this year.,90,20-Oct-09
Grand Theft Auto: Liberty City Stories,88,Modojo,"I'm actually conflicted with this game, because the more and more the controls piss me off the less I want to play.",80,24-Oct-05
Grand Theft Auto: Chinatown Wars,93,Cheat Code Central,"The visuals are great, the gameplay is entertaining, and all of the new things that were tried in the game are welcome additions. The semi top-down view can take a little getting used to, especially when driving, but CW does a great job of compensating for this and just about any other issue you'll run into with a handful of assists that can be turned on and off.",92,17-Mar-09
Grand Theft Auto: Vice City,94,Pregaming,"My only problem is when driving fast, after a few seconds the graphics seems to disappear and you’re driving by blotchy scenery, which half of that is gone.",90,12-May-03
Grand Theft Auto: Chinatown Wars,93,Thunderbolt,"After experiencing Chinatown Wars, you have to applaud Rockstar. Not only have they presented their iconic city on a fashionably smaller scale, they have woven an intriguing story into the mix as well.",90,17-Mar-09
Grand Theft Auto: San Andreas,93,null,"Easily the best game in the GTA series, and an all-time classic. [Aug 2005, p.52]",95,07-Jun-05
Grand Theft Auto: San Andreas,95,The New York Times,It would feel truer to the game's open environmental design if you could have more general goals: kill an enemy when and how you like; raise money for an objective through any method available; challenge random people to races.,60,26-Oct-04
Grand Theft Auto: Vice City Stories,86,PGNx Media,"Vice City Stories won’t make you a believer in the franchise if you didn’t understand why people play Grand Theft Auto so avidly. However, for the millions of us that do, having a new story and an excuse to spend more time in Vice City is more than enough.",92,31-Oct-06
Grand Theft Auto: Vice City,95,Total Video Games,"The massive amount of new features sets this game miles apart from ""GTA: 3"" - everything from interior locations, the combat, the graphics to the car handling has been improved, making this into a totally brilliant game.",100,27-Oct-02
Grand Theft Auto: San Andreas,95,Game Power Australia,"It's not just the best Grand Theft Auto to date, it's possibly the best game you'll ever play on PlayStation 2. It's simply that good.",100,26-Oct-04
Grand Theft Auto: Chinatown Wars,93,NintendoWorldReport,"Though the top-down view creates some problems, the game is quite enjoyable overall. DS Players looking for a modern GTA experience needn't look further than Chinatown Wars.",90,17-Mar-09
Grand Theft Auto: Liberty City Stories,88,Official U.S. Playstation Magazine,"As a value proposition, there's nothing on PSP that comes close. It's a gigantic game; the core gameplay will probably take you 40 or 50 hours to get through, and it has 33 additional ""games"" that have the potential to occupy you another five or even 10 hours, if you really want to push it.",90,24-Oct-05
Grand Theft Auto: San Andreas,95,XGP Gaming,"The story to San Andreas is by far the best of any GTA game to date. As you progress, you will experience turning points to this story that drive you to see the next cutscene, something that has never been done in a GTA game before.",98,26-Oct-04
Grand Theft Auto: San Andreas,93,GameZone,"The crown jewel of GTA games. The most missions, the biggest cities and the most immersive character building of any previous GTA games makes this a sure-fire hit.",92,07-Jun-05
Grand Theft Auto: Vice City Stories,75,VideoGamer,"Vice City Stories is an impressive PSP game but a less impressive PlayStation 2 title. It's not a great port but with another PS2-only GTA being highly unlikely, fans yet to enter the PSP market should find a highly enjoyable game.",80,05-Mar-07
Grand Theft Auto: Liberty City Stories,88,Yahoo!,"Liberty City Stories stands out on the PlayStation Portable like an elephant in a henhouse, and puts almost every other PSP game -- especially console ports -- to shame.",90,24-Oct-05
Grand Theft Auto: San Andreas,95,WHAM! Gaming,This could very well be remembered as the PlayStation 2's best game ever.,96,26-Oct-04
Grand Theft Auto: Chinatown Wars,90,InsideGamer.nl,"Rockstar has given all, to deliver the complete experience of Chinatown Wars on the PSP and succeeded to do that. The game looks great and the extra missions are bringing more variation to the game. The story has less dept then other GTA-games en that is being hided well by the humour in the game. The minigames don’t come to there right without the touchscreen, but that doesn’t matter. Chinatown Wars is still a great game, which keeps you busy for a long time.",90,20-Oct-09
Grand Theft Auto: San Andreas,93,GameZone,"Not only is it bigger and better, but it looks and feels so good on the Xbox so if you haven't already bought this game this is the definitive version to own.",96,07-Jun-05
Grand Theft Auto: Chinatown Wars,90,Video Game Talk,"Grand Theft Auto Chinatown Wars is the biggest and most ambitious handheld GTA game ever, and the production values really show in the PSP port, with its vastly improved graphics and audio.",80,20-Oct-09
Grand Theft Auto: San Andreas,93,Yahoo!,By far the biggest game in the series. Gamers who aren't turned off by the nefarious and illegal activities will find this to be one of the most engrossing games ever produced.,90,07-Jun-05
Grand Theft Auto: San Andreas,95,My Gamer,"The amount of things to do in the cities of Los Santos, San Fierro, and Las Venturas is absolutely staggering... In my opinion there’s no excuse to not have a “save anywhere” feature included.",88,26-Oct-04
Grand Theft Auto: Chinatown Wars,90,PALGN,"Grand Theft Auto: Chinatown Wars on the PSP may be no better and not much different than the DS version, but it's definitely worth a shot for any GTA fan who hasn't played it yet.",85,20-Oct-09
Grand Theft Auto: San Andreas,93,Boomtown,"Casting morality aside for one moment, GTA: SA is a glorious thrilling ride of delinquency. It offers just enough freedom, and more than enough violence, to make for a truly epic game.",90,07-Jun-05
Grand Theft Auto: San Andreas,93,GameBiz,There is the slight hint that it may need a bit of a fresh direction if the GTA series is not to become just another set of endless and ever-increasingly bland sequels.,85,07-Jun-05
Grand Theft Auto: San Andreas,95,1UP,"Enormous, diverse, engrossing, daring, liberating, sophisticated and -- most of all -- ambitious. Yet at the same time it can be restrictive, banal, childish, unpolished and -- most of all -- frustrating.",90,26-Oct-04
Grand Theft Auto: Vice City,94,ActionTrip,"The game is brilliant and will keep you occupied for the rest of you gaming days. It's fun, addictive, original, and it merges genres very effectively.",93,12-May-03
Grand Theft Auto: Chinatown Wars,90,Play.tm,"The downside to all these positives is that the mini-games, so enjoyable on the DS touch screen, become little more than button tapping affairs here losing most of their charm in the process.",90,20-Oct-09
Grand Theft Auto: Chinatown Wars,90,Gamervision,"Grand Theft Auto: Chinatown Wars is essentially an improved version of the DS release with a few new side missions, a couple of new characters, and a completely overhauled graphics engine.  Despite the fact that the game was built specifically for the DS, porting it to Sony’s less popular, but more powerful handheld has actually improved its playability.",95,20-Oct-09
Grand Theft Auto: Vice City,95,Gamer's Hell,"It scores high/perfect in all areas and is pure bliss to play. If you are old enough and you don’t mind dark, dark humor and 80’s nostalgia, then this game is most definitely for you!",95,27-Oct-02
Grand Theft Auto: Liberty City Stories,88,GameBrink,"Whether you want to play for 18 hours or 15 minutes, the game is designed to accommodate to the hardcore and the moderate gamer.",88,24-Oct-05
Grand Theft Auto: San Andreas,93,null,"Despite the niggles and the fact that the game could be so much more expansive and technically improved on the new platforms, Carl Johnson and his homeboys epic odyssey is something everyone interested in games should check out. [July 2005, p.74]",90,07-Jun-05
Grand Theft Auto: San Andreas,93,Xbox Solution,"Gamers will see that the load times are fast, the cut-scenes are well done, and the story is filled with twists that you won't see coming.",96,07-Jun-05
Grand Theft Auto: Vice City,94,Gamezilla!,A definite contender for the best game of the year.,96,12-May-03
Grand Theft Auto: Vice City Stories,86,3DAvenue,"Stunning graphics, awesome soundtrack and top notch story combine to make this one of the year’s must have titles and not just for the PSP.",90,31-Oct-06
Grand Theft Auto: Vice City Stories,75,null,"One conversion too far, a game that is much more at home on the PSP than its bigger brother. [May 2007, p.71]",60,05-Mar-07
Grand Theft Auto: Liberty City Stories,88,GamePro,"On a visual level, the game looks simply awesome. It's not quite as detailed as ""Vice City"" or ""San Andreas,"" but it absolutely destroys the original ""GTA 3.""",100,24-Oct-05
Grand Theft Auto: Vice City,95,Game Chronicles,"The open-ended nature of the game design almost rivals those persistent world games like ""EverQuest."" You can literally lose yourself in the world of Vice City.",98,27-Oct-02
Grand Theft Auto: Chinatown Wars,93,Cynamite,"Great scope, nice car handling, awesome multiplayer – Rockstar delivers extraordinary GTA quality on a small display.",100,17-Mar-09
Grand Theft Auto: San Andreas,93,Worth Playing,"Given the wonderful environment design, new RPG elements, and extremely well done ""gangsta"" theme, Grand Theft Auto: San Andreas comes as close to perfect as anything in the past few years.",97,07-Jun-05
Grand Theft Auto: San Andreas,95,RealGamer,There is personality and atmosphere everywhere in this game and even small things such as the body language of pedestrians sets the scene in every neighbourhood you visit.,94,26-Oct-04
Grand Theft Auto: Vice City Stories,75,1UP,"As ever, there are some issues with the combat system -- but this doesn't outweigh the overall quality, or the fact that you are getting one hell of a lot of game for a penny shy of 20 bucks.",90,05-Mar-07
Grand Theft Auto: Vice City Stories,86,null,"Like last year's game, VCS impresses like few other games on the PSP. [Jan. 2007, p.90]",90,31-Oct-06
Grand Theft Auto: San Andreas,93,Gamezilla!,"Another major failing of Grand Theft Auto: San Andreas on the Xbox is the unnatural controller layout, and it's a fault that can't be too heavily attributed to the developers.",92,07-Jun-05
Grand Theft Auto: Vice City,95,null,"In essence, Vice City is little more than a GTA3 expansion pack.  Still, considering this could have just been a cash cow license like Tomb Raider, Vice City came out surprisingly well.",90,27-Oct-02
Grand Theft Auto: Chinatown Wars,93,DarkZero,"No-one else but Rockstar could’ve made Chinatown Wars what it is, because no one else has that kind of commitment and finesse to pull it off. It’s been a while since such a must-have game has come to the DS.",100,17-Mar-09
Grand Theft Auto: Chinatown Wars,93,Gamer.nl,"Chinatown Wars is Grand Theft Auto as it should be on a handheld. Missions are relatively short, you can always save and the point of view gives you that classical feeling. Even the use of the stylus feels like a true addition to the gameplay. And we haven't even talked about the great  multiplayer, tons of details and the new 'drug-trading' mode. It's obvious that GTA: Chinatown Wars keeps the franchise going in pocket size.",90,17-Mar-09
Grand Theft Auto: Liberty City Stories,88,My Gamer,"After playing ""San Andreas,"" Liberty City Stories is the greasy cheeseburger that untrained players will enjoy, but connoisseurs can only tolerate it instead of basking in the full favor of something greater.",60,24-Oct-05
Grand Theft Auto: Vice City,94,G4 TV,"Best of all, the numerous bugs and glitches that brought the PS2 version down a notch have been cleaned up and eliminated, for the most part. Enemies no longer shoot you through solid walls, you no longer randomly lose health while running, and cars remain in your garage until you take them out.",100,12-May-03
Grand Theft Auto: Chinatown Wars,90,Cynamite,GTA Chinatown Wars delivers on PSP! Liberty City is always a lot of fun.,100,20-Oct-09
Grand Theft Auto: Chinatown Wars,90,GameSpot,The PSP version of this fantastic GTA game is even better than the DS original.,95,20-Oct-09
Grand Theft Auto: San Andreas,93,PC Gameworld,"A game with atmosphere and style, and should keep anyone busy for months.",90,07-Jun-05
Grand Theft Auto: Vice City Stories,75,null,"It lacks the vitality it once had, but Vice City is still one of the best open-ended worlds. [Apr 2007, p.74]",85,05-Mar-07
Grand Theft Auto: Vice City,95,Gamer's Pulse,"A larger and spicier serving of GTA3 with some minor, though beneficial, trimmings.",92,27-Oct-02
Grand Theft Auto: Vice City,94,GameSpot,"If by some chance you've put off playing Vice City up till now, don't wait any longer.",93,12-May-03
Grand Theft Auto: Chinatown Wars,93,ZTGD,A great game for the handheld and can satisfy any hardcore gamers' craving for something more than cooking games and language teachers on their DS.,90,17-Mar-09
Grand Theft Auto: Liberty City Stories,88,null,Short version: It rocks! Longer version: Sony PSP's killer application has arrived. It is GTA as we know it. Fantastic! [Dec 2005],90,24-Oct-05
Grand Theft Auto: Chinatown Wars,90,Gamers' Temple,"You'll still find mayhem for mayhem's sake in this title, but for the first (second if you count the DS version) time, the GTA series has delivered more than just hooker target practice; there's a great game here as well.",89,20-Oct-09
Grand Theft Auto: San Andreas,95,Game Over Online,"Thanks to the sheer level of detail and the amount of gameplay you'll be able to engage in during C.J.'s adventures, San Andreas surpasses just about any game that’s come along in the PS2’s history.",97,26-Oct-04
Grand Theft Auto: Chinatown Wars,93,Gamervision,"Rockstar has done a downright amazing job of bringing one of gaming’s most ambitious, innovative and expansive franchises to a handheld console that seems like it simply shouldn’t be able to handle it.  It looks great, plays great, and feels every bit like a fitting entry in the series.",95,17-Mar-09
Grand Theft Auto: San Andreas,93,null,"There's a ton of mission variety, but whatever your pleasure, you're going to be doing a lot of driving to specified points on the map and entering a lot of red circles to initiate a lot of scripted events. [Aug 2005, p.48]",75,07-Jun-05
Grand Theft Auto: Vice City Stories,86,Times Online,The pressure of following in the footsteps of one of the console’s greatest successes seems to have removed any sense of humour from the game.,60,31-Oct-06
Grand Theft Auto: Liberty City Stories,88,Worth Playing,"Everything you loved about the original games is in here, in glorious, put-in-your-pocket color. This is a must-have title for any portable punk.",90,24-Oct-05
Grand Theft Auto: Liberty City Stories,88,null,"With so much lasting appeal, including 100 hidden packages and side missions with taxis and pizza bikes, as well as that amazing multiplayer, you will never get bored.",90,24-Oct-05
Grand Theft Auto: Chinatown Wars,90,GameSpy,"So, while Chinatown Wars is a solid, entertaining title for the PSP, it simply lacks the oomph and ""oh wow!"" factor that it had on DS.",70,20-Oct-09
Grand Theft Auto: Vice City,95,Absolute Playstation,"Everything GTA3 was and so much more. Sweeping improvements have been made in gameplay, graphics and sound over the last incarnation.",95,27-Oct-02
Grand Theft Auto: Vice City Stories,75,Gamestyle,The odd moments of joy don’t warrant sitting through the rest of the tedium and broken mechanics for. This cash cow has been well and truly milked.,50,05-Mar-07
Grand Theft Auto: Chinatown Wars,90,Game Revolution,"Chinatown Wars is a big package, and Liberty City’s pants are bursting at the seams.",83,20-Oct-09
Grand Theft Auto: Vice City Stories,86,Boomtown,"Vice City Stories is an amazing game, and one I would wholeheartedly recommend, (a lot of work has gone into it, despite the fact that the city has undergone few changes from the original) but I hope that for the upcoming (if you can wait a year) ""GTA IV"" we see enough of a change to refresh the genre and franchise, because the games are great, but starting to seem quite samey.",90,31-Oct-06
Grand Theft Auto: Chinatown Wars,90,Total Video Games,"Although the PSP port suffers from the fact that Chinatown Wars was undoubtedly designed around the DS, the major qualities still remain and make for a GTA that is considerably different but nonetheless entertaining.",80,20-Oct-09
Grand Theft Auto: Vice City,95,null,"There's something indescribably cool about cruising Vice City's beach strip while rocking to ""Billie Jean."" [Feb 2003, p.92]",100,27-Oct-02
Grand Theft Auto: Liberty City Stories,88,Gamers Europe,"A fantastic achievement. This is full-on, full-size GTA running on a handheld. Something most of us would probably have thought impossible back when ""GTA III"" originally came out.",85,24-Oct-05
Grand Theft Auto: Vice City,94,IGN,"Still, the new additions and control tweaks for the PC are slowly but surely tearing me away from the television.",93,12-May-03
Grand Theft Auto: Chinatown Wars,90,Extreme Gamer,"The PSP version of Chinatown Wars is easier to play, more precise, and visually more outstanding than the Nintendo DS version.",92,20-Oct-09
Grand Theft Auto: Vice City,94,PC Gameworld,"Offers a huge amount of gameplay, with something for everyone. Be prepared to lose dozens of hours to this game without even noticing.",96,12-May-03
Grand Theft Auto: Chinatown Wars,90,Armchair Empire,"With a visual downgrade and a quieter audio track, there is definitely something lost in the translation, and with Liberty City and Vice City Stories performing much more adequately, this PSP port may not have enough weight to keep it from drowning in obscurity.",60,20-Oct-09
Grand Theft Auto: Vice City,95,GameZone,"Often comical and always brutal, this is a game that isn’t afraid to get its hands dirty and gamers will absolutely love it for that.",98,27-Oct-02
Grand Theft Auto: Vice City Stories,86,GamesRadar+,"Vice City Stories is topped off with killer ad-hoc multiplayer for up to six people, which lets you tear it up on foot or in cars, helicopters and boats across 10 different modes. While these matches tend to get choppy, they'll keep you playing long after you've finished the game's lengthy storyline - as will all the hidden nooks, unlockable vehicles and dozens of optional tasks scattered around the city.",90,31-Oct-06
Grand Theft Auto: Liberty City Stories,88,IGN,"While rough around the edges, Grand Theft Auto: Liberty City Stories offers a deep, console-like GTA experience. There's so much to see and do that finishing the main story portion leaves around 60% of the game to experience.",90,24-Oct-05
Grand Theft Auto: San Andreas,93,Game Over Online,"There’s an unbelievable amount of things to do and fun to be had, much of it at the player’s whim.",93,07-Jun-05
Grand Theft Auto: Chinatown Wars,93,BigPond GameArena,"Chinatown Wars is an achievement. It's not the typical kind of game you'd expect on the DS - the learning curve is steeper than normal thanks to the small help text (expected on a portable) and the legions of police and it's a very adult game. Still, I'll gladly take the time to learn if it comes with the entirety of Liberty City, a working drug economy plus people, cars, boats, and the occasional helicopter and next to no loading times.",100,17-Mar-09
Grand Theft Auto: San Andreas,95,PSX Extreme,"Visually, San Andreas is pretty lackluster. The game doesn't display a single ""wow"" element in its visuals. The framerate is still too jerky and the pop-up is absolutely disastrous.",84,26-Oct-04
Grand Theft Auto: Chinatown Wars,93,Gameplayer,"The game is also unashamedly adult in its content and we, for one, see as a breath of fresh (marijuana scented) air on the platform. Dealing drugs, hand making molotovs, chainsawing people in half, swearing up a storm, blowing people’s heads off with a sniper rifle – it’s all in here, and if you’re underage you had better check with your olds before getting it. Or don’t, and just hide it really well. Whatever works.",95,17-Mar-09
Grand Theft Auto: Chinatown Wars,93,GamesRadar+,"Shameless developers trotting out shallow minigame anthologies and SNES era RPGs should stand in embarrassment at just how much potential Rockstar Leeds managed to wring from a console this late in its lifespan. Gentlemen, it’s time to beg your girlfriend for that DS back. Perhaps you could trade in your PS3 - it’s not like that’s getting more GTA anytime soon.",100,17-Mar-09
Grand Theft Auto: San Andreas,95,All Game Guide,"The game's targeting system has also been adjusted. Using triggers and both analog sticks (a la ""Manhunt""), players take more complete control of C.J., and can have him run and strafe, change targets, and shoot in almost any direction, even while moving in another.",100,26-Oct-04
Grand Theft Auto: San Andreas,93,Gamer's Hell,"A remarkable roster of stars help voice many of the characters, and an important part of the era’s music has also found its way into the game.",88,07-Jun-05
Grand Theft Auto: Liberty City Stories,88,Next Level Gaming,"One of the best handheld games I have ever played, hands down... This is the type of game that changes the definition of a handheld.",93,24-Oct-05
Grand Theft Auto: San Andreas,93,GamesRadar+,What does make it great is that it actually delivers on nearly everything it promises while still being fun to just pick up and play.,100,07-Jun-05
Grand Theft Auto: Chinatown Wars,93,null,"A criminally good game by any standard but on the DS it's practically unparalleled. [May 2009, p.58]",95,17-Mar-09
Grand Theft Auto: Vice City Stories,86,GamePro,"The game is gritty and dull to a fault and it doesn't have the same sense of humor that made the past titles so entertaining. What humor there is tends to be painfully blunt - the first four hours are like one long un-funny redneck joke, for example.",75,31-Oct-06
Grand Theft Auto: Vice City Stories,86,Game Informer,"While Rockstar Leeds has taken steps to improve the targeting, there are far too many times when large-scale conflicts play out like an absolute mess. Also, if you’ve played all the GTA games, you’ll recognize too many of the same old mission types that we’ve done dozens of times in the past (I’m seriously never giving a hooker a ride again).",85,31-Oct-06
Grand Theft Auto: San Andreas,95,null,"A game that surpasses its genre-defining predecessors in every respect, not just in terms of gameplay, but also in terms of story, characters, and overall fun. It pops many caps in many asses. [Jan 2005, p.58]",100,26-Oct-04
Grand Theft Auto: Vice City,94,null,"An extremely immersive and detailed game that builds on the celebrated strengths of its predecessor. [August 2003, p.58]",92,12-May-03
Grand Theft Auto: Chinatown Wars,90,GameDaily,"Grand Theft Auto: Chinatown Wars has problems, but we're still giving it a hefty thumbs up. The brutal nature of the series remains intact, the new top-down perspective rocks on PSP and there's plenty to do, both on your own and with a friend. Unless the violence offends you, it's a must have game.",90,20-Oct-09
Grand Theft Auto: San Andreas,93,Computer Games Online RO,"I wish you all the fun in the world playing GTA: SA but I should also warn you about its length. Be prepared with lots of smokes and beers around (I’d rather have a few bottles of tequila, but that’s just me), because it could keep you busy for a very long time.",92,07-Jun-05
Grand Theft Auto: Liberty City Stories,88,Gamers' Temple,"If you were stuck on a desert island with a PSP and only one game, this is the game that you’d want to have with you.",90,24-Oct-05
Grand Theft Auto: San Andreas,95,Gaming Horizon,"As far as actual content goes, I don’t think there’s been a game in history with more, so you almost need to own this game just so you can see how packed a game can be.",96,26-Oct-04
Grand Theft Auto: San Andreas,93,Boomtown,"It's good, and will hold your interest, but with some slightly frustrating controls that aren't customisable, driving Duke owners to desperation, or a new controller S (effectively making it into a £55 game) it's only really slightly improved over the PS2 version.",80,07-Jun-05
