,id,name,developer,release_date,metascore,review_platform,other_platforms,genres,summary,online_player_num,rating
10,10,Deathloop                                                        PC                                                    ,ArkaneStudios,"Sep 14, 2021",86,PC,PlayStation5,"ActionAdventure,General,Action,Shooter,First-Person,Arcade","If at first you don't succeed Die, Die Again. From the team at Arkane Lyon comes an innovative take on first-person action. ""DEATHLOOP"" transports players to the lawless island of Blackreef in an eternal struggle between two extraordinary assassins. Explore stunning environments and meticulously designed levels in an immersive gameplay experience that lets you approach every situation any way you like. Hunt down targets all over the island in an effort to put an end to the cycle once and for all, and remember, if at first you don't succeed die, die again.",NoOnlineMultiplayer,M
11,11,Mass Effect Legendary Edition                                                        PC                                                    ,BioWare,"May 14, 2021",86,PC,"PlayStation4,XboxOne","Miscellaneous,Compilation","For many months now, our team at BioWare has been hard at work updating the textures, shaders, models, effects and technical features of three enormous games. Our goal was not to remake or reimagine the original games, but to modernize the experience so that fans and new players can experience the original work in its best possible form. It's been amazing to see the adventures of Commander Shepard take on new life in super-sharp resolution, faster framerates, and beautiful visual enhancements. 

Mass Effect Legendary Edition will include single-player base content and DLC from Mass Effect, Mass Effect 2, and Mass Effect 3, plus promo weapons, armors, and packs - all remastered and optimized for 4k Ultra HD. It will be available in Spring 2021 for Xbox One, PlayStation 4, and PC, with forward compatibility and targeted enhancements on Xbox Series X and PlayStation 5.",NoOnlineMultiplayer,M
12,12,Nioh 2: The Complete Edition                                                        PC                                                    ,TeamNinja,"Feb  5, 2021",86,PC,PlayStation4,"Role-Playing,ActionRPG","Battle hordes of yokai in this masocore Action RPG. Create your protagonist and embark on an adventure through a myriad of locales across Japan during the Sengoku period. Utilize the new Yokai Shift ability to defeat even the most ferocious yokai and be prepared to brave through Dark Realms created by your enemies.
",OnlineMultiplayer,M
13,13,Mini Motorways                                                        PC                                                    ,DinosaurPoloClub,"Jul 20, 2021",86,PC,iPhone/iPad,"Strategy,General,Management,Government","Have you ever been stuck in traffic and wished you could do something to fix it?

In Mini Motorways, the city's traffic problems are in your hands.

From the makers of Mini Metro, Mini Motorways is a game about drawing the roads that drive a growing city. Build a road network, one road at a time, to create a bustling metropolis. Redesign your city to keep the traffic flowing, and carefully manage upgrades to meet the changing demands. How long can you keep the cities of the world moving?",NoOnlineMultiplayer,
14,14,ENDER LILIES: Quietus of the Knights                                                        PC                                                    ,"LiveWireFilms,LiveWire","Jun 22, 2021",86,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","ActionAdventure,Open-World","ENDER LILIES is a dark fantasy 2D Action RPG about unraveling the mysteries of a destroyed kingdom. On this sorrowful path, encounter horrific enemies against whom a moment of inattention could be fatal. Overcome the hardships of your journey and reach the truth with the fallen knights.
",NoOnlineMultiplayer,
15,15,F1 2021                                                        PC                                                    ,Codemasters,"Jul 16, 2021",86,PC,"PlayStation4,PlayStation5,XboxOne,XboxSeriesX","Racing,Simulation,Automobile","Every story has a beginning in F1® 2021, the official videogame of the 2021 FIA FORMULA ONE WORLD CHAMPIONSHIP™. Enjoy the stunning new features of F1® 2021, including the thrilling story experience ‘Braking Point’, two-player Career, and get even closer to the grid with ‘Real-Season Start’.",Upto20Players,E
16,16,Guilty Gear -Strive-                                                        PC                                                    ,ArcSystemWorks,"Jun 11, 2021",85,PC,"PlayStation4,PlayStation5","Action,Fighting,2D","“Guilty Gear -Strive-“ is the latest entry in the Guilty Gear fighting game franchise. Created by Daisuke Ishiwatari and developed by Arc System Works, “Guilty Gear -Strive-“ upholds the series’ reputation for groundbreaking hybrid 2D/3D cell-shaded graphics and intense, rewarding gameplay. There is a fully voiced story mode diving deep into the Guilty Gear universe, new characters joining fan favorites, and robust rollback net code. The cutting-edge 2D/3D hybrid graphics pioneered in the Guilty Gear series have been raised to the next level in “Guilty Gear -Strive-“. The new artistic direction and improve character animations will go beyond anything you’ve seen before in a fighting game!",Upto32Players,T
17,17,Metro Exodus: Complete Edition                                                        PC                                                    ,4AGames,"May  6, 2021",85,PC,"PlayStation5,XboxSeriesX","Action,Shooter,First-Person,Arcade","For PC players, we’re taking advantage of our new Fully Ray Traced Lighting Pipeline and the latest GPU-capable hardware from NVIDIA and AMD to offer the ultimate Ray Traced experience – the Metro Exodus PC Enhanced Edition. This upgrade is so extensive, it will require a Ray Tracing capable GPU as the minimum spec, and we will need to deliver this version as a separate product – it is not a simple ‘patch’ to the base game – instead it will be offered as an extra entitlement to all existing Metro Exodus PC players.",NoOnlineMultiplayer,
18,18,Football Manager 2022                                                        PC                                                    ,SportsInteractive,"Nov  9, 2021",85,PC,"iPhone/iPad,Switch,XboxOne,XboxSeriesX","Sports,Team,Soccer,Management","M22 brings new, progressive ways to find that winning edge, instil your footballing style and earn it for the fans. Pack includes an FM 'Coaching Planner' to take your tactical planning and squad building to the next level. Football isn't just about winning - it's about overcoming the odds and earning your success. Fighting your way to the top or clawing your way back from the brink; these are the moments that taste sweetest. In Football Manager 2022, you're the architect of your club's destiny - the fans' fortunes rest with you. Prevail in the moments that matter to turn their dreams into reality and earn your place alongside the managerial greats. ",,E
19,19,Death's Door                                                        PC                                                    ,AcidNerve,"Jul 20, 2021",85,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","ActionAdventure,General","Reaping souls of the dead and punching a clock might get monotonous but it's honest work for a Crow. The job gets lively when your assigned soul is stolen and you must track down a desperate thief to a realm untouched by death - where creatures grow far past their expiry and overflow with greed and power. Talon Sharp Combat:  Utilise melee weapons, arrows and magic to overcome a fantastic array of beasts and demigods. Mistakes are punished and victory is rewarded. Gain an edge by customising your character stats and mastering the abilities and upgrades you obtain.



A Beautifully Bleak World: Venture beyond the Doors and explore a land full of twisted inhabitants and countless secrets, bringing hope to the weird and wonderful characters you’ll meet along the way.



A Dark Mystery to Unravel: Track down and defeat colossal tyrants with stories and motivations of their own. Experience a somber yet darkly comedic tale, uncovering the truths behind the flow of souls, the role of the Crows and the origin of the Doors.",NoOnlineMultiplayer,
20,20,Inscryption                                                        PC                                                    ,DanielMullinsGames,"Oct 19, 2021",85,PC,,"Strategy,Turn-Based,CardBattle","Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards... ",NoOnlineMultiplayer,
21,21,The Forgotten City                                                        PC                                                    ,ModernStoryteller,"Jul 28, 2021",84,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","ActionAdventure,General","The Forgotten City is a mystery adventure game of exploration and deduction. Travel 2,000 years into the past and relive the final days of a cursed Roman city, where if one person sins, everyone dies.  Combat is an option, but violence will only get you so far. Only by questioning an intertwined community of colourful characters, cleverly exploiting the time loop, and making difficult moral choices can you hope to solve this epic mystery. Here, your decisions matter. The fate of the city is in your hands.
",NoOnlineMultiplayer,T
22,22,Tales of Arise                                                        PC                                                    ,BandaiNamcoGames,"Sep 10, 2021",84,PC,"PlayStation4,PlayStation5,XboxOne,XboxSeriesX","Role-Playing,Japanese-Style","Challenge the Fate That Binds You

On the planet Dahna, reverence has always been given to Rena, the planet in the sky, as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom.

Our tale begins with two people, born on different worlds, each looking to change their fate and create a new future. Featuring a new cast of characters, updated combat, and classic Tales of gameplay mechanics, experience the next chapter in the world-famous Tale of series, Tales of Arise.

The Next Chapter
Experience the next chapter in the Tales of series, brought to life in stunning HD powered by Unreal Engine 4

Dynamic Action
Dynamic Action RPG featuring an updated battle system that retains classic Tales of gameplay

A New Tale Awaits
Rich story featuring a vibrant world and new cast of characters

Stunning Visuals
High quality animation created by Ufotable",,T
23,23,Atelier Ryza 2: Lost Legends & the Secret Fairy                                                        PC                                                    ,Gust,"Jan 26, 2021",84,PC,"PlayStation4,PlayStation5,Switch","Role-Playing,Japanese-Style"," This story takes place three years after the events of the previous game “Atelier Ryza: Ever Darkness & the Secret Hideout,” and depicts the reunion of Ryza and her friends, who go through new encounters and goodbyes to discover a true priceless treasure. ",NoOnlineMultiplayer,T
24,24,Shovel Knight Pocket Dungeon                                                        PC                                                    ,Vine,"Dec 13, 2021",84,PC,"PlayStation4,Switch,XboxOne","Puzzle,Action","Delve with Shovel Knight into the depths of the Pocket Dungeon in an action-packed puzzle adventure mashup like none other. Delve with Shovel Knight into the depths of the Pocket Dungeon in an action-packed puzzle adventure mashup like none other! Join your mysterious guide Puzzle Knight as you shovel through scads of foes, procure new equipment, and battle bosses both familiar and new. Explore a tale with endless twists and turns, quest as your favorite heroes, and even challenge a friend for fast-paced head-to-head competition in Shovel Knight Pocket Dungeon!

    Enter a world of falling block puzzle games, with a dungeon-crawling twist! Bump into enemies to battle them and trade damage in a unique combat system. An all-new hybrid that’s never been seen before. Group foes together for massive chain attacks while grabbing keys, power-ups, and potions to refill your health!
    Take control of more than 10 of your favorite heroes from the Shovel Knight universe, each with a unique power and play style.
    Take control of more than 10 of your favorite heroes from the Shovel Knight universe, each with a unique power and play style.
    Equip yourself on the fly with a treasure trove of items and equipment. Mix and match your loadout to prepare for any encounter.
    Play in a variety of ways with Story Mode, 2 player competitive Versus Mode, a Daily Challenge, and much more!
    A bold new visual style complements a new story. Learn the ropes from your pal Puzzle Knight as you attempt to escape the mysterious Pocket Dungeon. Shovel Knight’s signature storytelling and humor are on full display!
    Using your Shovel Knight series Amiibo allows you to call upon a familiar fairy friend to keep you company on your perplexing puzzle adventure!",NoOnlineMultiplayer,
25,25,Griftlands                                                        PC                                                    ,KleiEntertainment,"Jun  1, 2021",84,PC,"PlayStation4,Switch,XboxOne","Role-Playing,Strategy,Turn-Based,General,CardBattle",Griftlands is a deck-building rogue-like where you fight and negotiate your way through a broken-down sci-fi world.,NoOnlineMultiplayer,
26,26,Fuga: Melodies of Steel                                                        PC                                                    ,CyberConnect2,"Jul 29, 2021",84,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","Role-Playing,General","""We have to fight! If we don't, everyone we love will be taken away!"" One fateful night, a peaceful village is thrown into the flames of war. Determined to save their families, a group of children boards a giant tank and begins an offensive charge! Fuga: Melodies of Steel is an RPG where you place children, each with their own unique characteristics and skills, at different gun turrets in a tank to fight against the enemy.

Living inside the tank, the children show emotion and gain affinity amongst each other. Manage these both to change the outcome of their journey!

-A mysterious ancient weapon: The Taranis
Taranis, the giant tank sheltering the children, conceals many mysteries and somehow seems to have its own will. In situations of crisis, it can release a forbidden weapon, the dreadful Soul Cannon.

-Your adventure. Your choices.
Will you make sacrifices for victory? Or will you seek another path?
In this RPG, many choices have to be made in order to progress...but taking the safest road may not always be the best option. 

Faced with a desperate situation, what course of action will you choose?",NoOnlineMultiplayer,
27,27,The Darkside Detective: A Fumble in the Dark                                                        PC                                                    ,SpookyDoorway,"Apr 15, 2021",84,PC,"PlayStation4,PlayStation5,Stadia,Switch,XboxOne","General,Adventure,Text,Point-and-Click"," Delouse your room with sage and pack up your travel-sized ouija board, it’s time to re-enter Twin Lakes - America’s 34th most haunted city. Join Detective McQueen as he puzzles his way through 6 chilling cases, risking life and pixelated limb to solve the macabre mysteries that plague the poor town. ",NoOnlineMultiplayer,
28,28,Unsighted                                                        PC                                                    ,StudioPixelPunk,"Sep 30, 2021",84,PC,"PlayStation4,Switch,XboxOne","Role-Playing,ActionRPG","The few androids that remain are running out of Anima, the energy that gives all robots consciousness. It’s up to you, Alma, to save your friends from becoming Unsighted. Explore the vast ruins of Arcadia, using every tool you can find. Time is ticking. They need you.",NoOnlineMultiplayer,
29,29,Unpacking                                                        PC                                                    ,WitchBeam,"Nov  2, 2021",84,PC,"Switch,XboxOne","Puzzle,Action,General"," Unpacking is a zen puzzle game about the familiar experience of pulling possessions out of boxes and fitting them into a new home. Part block-fitting puzzle, part home decoration, you are invited to create a satisfying living space while learning clues about the life you’re unpacking. ",NoOnlineMultiplayer,
30,30,Everhood                                                        PC                                                    ,"ChrisNordgren,ForeignGnomes","Mar  4, 2021",83,PC,Switch,"ActionAdventure,Linear", An UNCONVENTIONAL ADVENTURE RPG that takes place in an inexpressible world filled with amusing musical battles and strange delightful encounters. To put it simply: You are in for a ride. ,NoOnlineMultiplayer,
31,31,Final Fantasy IV Pixel Remaster                                                        PC                                                    ,SquareEnix,"Sep  8, 2021",83,PC,iPhone/iPad,"Role-Playing,Japanese-Style","FINAL FANTASY IV delivers one of the richest and most powerful stories in the series. It's filled with characters and scenarios that fans continue to love to this day.

It focuses on the dark knight Cecil, who finds himself stripped of his position and rank when he questions his king's increasingly troubling orders. When he's sent on a simple delivery mission with his friend Kain, the shocking events that follow send him and a group of allies on an incredible journey of betrayal, love and redemption.

This is the first game to feature the Active Time Battle (ATB) system, which combines turn-based and real-time elements to create fast-paced and strategic combat.",NoOnlineMultiplayer,E10+
32,32,I Expect You To Die 2: The Spy And The Liar                                                        PC                                                    ,SchellGames,"Aug 24, 2021",83,PC,PlayStation4,"Adventure,3D,First-Person","Well, Agent, it looks like the Zoraxis organisation is up to their old tricks with a new scheme for world domination. It's up to you to expose their diabolical plot and put a stop to it.

Putting your telekinetic abilities and problem solving skills to the ultimate test, you'll once again be risking your life to solve dastardly puzzles and decipher secret codes in all-new highly interactive environments and surroundings.

Are you expected make it out alive? Of course not, you're expected to die!",NoOnlineMultiplayer,
33,33,Crash Bandicoot 4: It's About Time                                                        PC                                                    ,ToysforBob,"Mar 26, 2021",83,PC,"PlayStation4,PlayStation5,Switch,XboxOne,XboxSeriesX","Action,Platformer,3D","It's About Time - for a brand-wumping new Crash Bandicoot game! Crash fourward into a time shattered adventure with your favorite marsupials.

Neo Cortex and N. Tropy are back at it again and launching an all-out assault on not just this universe, but the entire multiverse! Crash and Coco are here to save the day by reuniting the four Quantum Masks and bending the rules of reality.

New abilities? Check. More playable characters? Yep. Alternate dimensions? Obviously. Ridonkulous bosses? For sure. Same awesome sauce? You bet your sweet jorts. Wait, are they actually jorts? Not in this universe!",NoOnlineMultiplayer,E10+
34,34,Little Nightmares II                                                        PC                                                    ,TarsierStudios,"Feb 11, 2021",83,PC,"PlayStation4,PlayStation5,Stadia,Switch,XboxOne,XboxSeriesX","ActionAdventure,Linear","Little Nightmares II is a suspense-adventure game in which you play as Mono, a young boy trapped in a world that has been distorted by a mysterious transmission from a distant signal tower. With Six, the girl in a yellow raincoat, Mono sets out to discover the dark secrets of The Signal Tower and save Six from her terrible fate; but their journey will not be easy as Mono and Six will face an array of new threats from the terrible residents of this world. Will you dare face this collection of new, little nightmares? PLAY A DARK, THRILLING, SUSPENSE ADVENTURE: A host of brand-new residents lie in wait to haunt your steps and disturb your sleep. Outsmart the sadistic teacher, survive the bloodthirsty hunter and flee from many more terrifying characters, as Mono and Six journey through this world together. DISCOVER A FANTASTICAL WORLD CORRUPTED BY THE SIGNAL TOWER: Escape a world that’s rotten from the inside. Your journey will take you from creepy woodlands to sinister schools on your way to the dreadful Signal Tower. Find the source of the evil that spreads through the TV screens of the world. AWAKEN YOUR INNER CHILD TO SAVE SIX FROM THE DARKNESS: Six is fading from this world, and her only hope is to journey with Mono to find what has afflicted her from the Signal Tower. In this world of unknown terrors, you are her only beacon of hope. Can you gather up the courage to fend off your tormenters, and work with Six to make sense of The Signal Tower? ",NoOnlineMultiplayer,T
35,35,Kena: Bridge of Spirits                                                        PC                                                    ,Emberlab,"Sep 21, 2021",83,PC,"PlayStation4,PlayStation5","ActionAdventure,General,Open-World","Kena: Bridge of Spirits is a story-driven action adventure set in a charming world rich with exploration and fast-paced combat. Players find and grow a team of tiny spirit companions called the Rot, enhancing their abilities and creating new ways to manipulate the environment.",NoOnlineMultiplayer,T
36,36,Trials of Fire                                                        PC                                                    ,WhatboyGames,"Apr  9, 2021",83,PC,,"Strategy,Turn-Based,Tactics","Trials of Fire is a single player, turn-based strategy game set in a post-cataclysmic fantasy realm.
",NoOnlineMultiplayer,
37,37,The Riftbreaker                                                        PC                                                    ,EXORStudios,"Oct 14, 2021",83,PC,"PlayStation5,XboxOne,XboxSeriesX","Role-Playing,ActionRPG","The Riftbreaker is a base-building, survival game with Action-RPG elements. You are an elite scientist/commando inside an advanced Mecha-Suit capable of dimensional rift travel. Hack & slash countless enemies. Build up your base, collect samples and research new inventions to survive. ",NoOnlineMultiplayer,T
38,38,Shadow Tactics: Blades of the Shogun - Aiko's Choice                                                        PC                                                    ,"MimimiProductions,MimimiGames","Dec  6, 2021",83,PC,,"Strategy,Real-Time,Tactics","Set in Japan around the early Edo period, Aiko's Choice is a stealth strategy game that takes place within the story of Shadow Tactics: Blades of the Shogun. The expansion focuses on one of the main game's protagonists: the kunoichi adept Aiko. She is a master of camouflage and distracts enemies disguised as a Geisha.

Although Aiko was certain that she left her old life behind her, Aiko's former sensei, the cunning spymaster Lady Chiyo, reappears from the shadows to challenge her. Together with her deadly companions she sets out to hunt down the ghosts of her past...",NoOnlineMultiplayer,
39,39,Sunlight                                                        PC                                                    ,KrillbiteStudio,"Jan 14, 2021",83,PC,,"Adventure,3D,First-Person","Traverse a harmonious hand painted forest in this first person hike. The trees guide you with gentle whispers, as you explore a philosophical story.
",NoOnlineMultiplayer,
40,40,Pathfinder: Wrath of the Righteous                                                        PC                                                    ,OwlcatGames,"Sep  2, 2021",83,PC,"PlayStation4,XboxOne","Role-Playing,ActionRPG"," Embark on a journey to a realm overrun by demons in a new epic RPG from the creators of the critically acclaimed Pathfinder: Kingmaker. Explore the nature of good and evil, learn the true cost of power, and rise as a Mythic Hero capable of deeds beyond mortal expectations. ",NoOnlineMultiplayer,
41,41,The Great Ace Attorney Chronicles                                                        PC                                                    ,Capcom,"Jul 27, 2021",83,PC,"PlayStation4,Switch","Miscellaneous,Compilation","With all the fun and drama of the Ace Attorney series set against the backdrop of Victorian-era Britain and Japan, there's sure to be no ""Objection!"" to the adventures of Ryunosuke Naruhodo as he turns the courtroom upside down. Featuring an intriguing overarching mystery spanning across two games, it promises to be the most engrossing story in the series yet. [Capcom]",NoOnlineMultiplayer,T
42,42,Resident Evil Village                                                        PC                                                    ,Capcom,"May  7, 2021",83,PC,"PlayStation4,PlayStation5,Stadia,XboxOne,XboxSeriesX","ActionAdventure,Survival","The next generation of survival horror rises in the form of Resident Evil Village, the eighth major entry in the Resident Evil series. With ultra-realistic graphics powered by the RE Engine, fight for survival as danger lurks around every corner. Years after the tragic events of Resident Evil 7 biohazard, Ethan Winters has started over with his wife Mia, finally living in peace and putting the past behind them. However, Chris Redfield, the legendary hero from previous Resident Evil games, suddenly disrupts their life, throwing a devastated Ethan into a new and twisted nightmare in search of answers.",NoOnlineMultiplayer,M
43,43,Demeo                                                        PC                                                    ,ResolutionGames,"May  6, 2021",83,PC,,"Strategy,Turn-Based,Tactics","RPG fans, unite… in virtual reality. A dark force has taken over the underworld in Resolution Games’ upcoming RPG dungeon crawler, Demeo, and it’s a world you’re not likely to survive alone. 
",OnlineMultiplayer,
44,44,Chivalry 2                                                        PC                                                    ,TornBannerStudios,"Jun  8, 2021",82,PC,"PlayStation4,PlayStation5,XboxOne,XboxSeriesX","Action,Beat-'Em-Up,3D","Chivalry 2 is a multiplayer first person slasher inspired by epic medieval movie battles. Players are thrust into the action of every iconic moment of the era - from the thunder of cavalry charges, to storms of flaming arrows, sprawling castle sieges and more. Catapults tear the earth apart as players lay siege to castles, set fire to villages and slaughter filthy peasants in the return of grand Team Objective maps. Ride to war on horseback and claim glory by your blade. Are ye a heroic warrior, or a blood-soaked murderer? Keep fighting and gurgling out battlecries even when wounded, bleeding out and missing limbs.  Enhanced player expression brings thousands of hilarious new voice-lines and deep character customization. A revamped, faster and more fluid combat system offers an expanded range of creative choices, allowing players to perfect their playstyle. Immersive sound and effects ensure every blow lands with the sickening thud of steel sinking into bone.",Upto64Players,M
45,45,Kaze and the Wild Masks                                                        PC                                                    ,"VoxGameStudio,PixelHive","Mar 26, 2021",82,PC,"PlayStation4,Stadia,Switch,XboxOne","Action,General,Platformer,2D","Let 90's inspired platformer Kaze and the Wild Masks take you on a trip down memory lane as you side-scroll your way through the Crystal Islands. In the colorful world of Kaze, you face enraged living vegetables in a variety of ways thanks to the powers of the Wild Masks. Pounce ferociously like a tiger, soar through the sky like an eagle, sprint fiercely like a lizard, and rule the sea like a shark.

Kaze and the Wild Masks embraces all the classic 90's platformer elements and gives it a personal touch with modern-looking pixel art graphics. With simple and intuitive mechanics, difficult challenges, iconic bosses, and the satisfyingly smooth platforming and speed of the game, you will find yourself hooked to accomplish everything.",NoOnlineMultiplayer,
